Country.Name,year,GDP
Timor-Leste,X1962,NA
Tonga,X1962,NA
Trinidad and Tobago,X1962,619319197.3
Tunisia,X1962,NA
Turkey,X1962,8922222222
Tuvalu,X1962,NA
Tanzania,X1962,NA
Uganda,X1962,449012578.6
Ukraine,X1962,NA
Uruguay,X1962,1710004407
USA,X1962,6.05E+11
Uzbekistan,X1962,NA
St. Vincent and the Grenadines,X1962,14524878.96
Venezuela,X1962,1.00E+10
British Virgin Islands,X1962,NA
Virgin Islands (U.S.),X1962,36900000
Vietnam,X1962,NA
Vanuatu,X1962,NA
Samoa,X1962,NA
Kosovo,X1962,NA
Yemen,X1962,NA
South Africa,X1962,8497830043
Zambia,X1962,693142857.1
Zimbabwe,X1962,1117601600
Aruba,X1963,NA
Afghanistan,X1963,751111191.1
Angola,X1963,NA
Albania,X1963,NA
Andorra,X1963,NA
United Arab Emirates,X1963,NA
Argentina,X1963,18272123664
Armenia,X1963,NA
American Samoa,X1963,NA
Antigua and Barbuda,X1963,NA
Australia,X1963,21501847911
Austria,X1963,8374175258
Azerbaijan,X1963,NA
Burundi,X1963,232749998
Belgium,X1963,14260017387
Benin,X1963,253927646.5
Burkina Faso,X1963,394040749.1
Bangladesh,X1963,5319458351
Bulgaria,X1963,NA
Bahrain,X1963,NA
Bahamas,X1963,237745098
Bosnia and Herzegovina,X1963,NA
Belarus,X1963,NA
Belize,X1963,33749405.01
Bermuda,X1963,96366652.31
Bolivia,X1963,721142957.3
Brazil,X1963,23021477292
Barbados,X1963,NA
Brunei,X1963,NA
Bhutan,X1963,NA
Botswana,X1963,38091150.57
Central African Republic,X1963,129379097.9
Canada,X1963,44657169109
Switzerland,X1963,13063643796
Channel Islands,X1963,NA
Chile,X1963,5668187500
China,X1963,50706799903
Ivory Coast,X1963,761047045.8
Cameroon,X1963,723624365.3
Democratic Republic of the Congo,X1963,6213185743
Republic of Congo,X1963,172233430.9
Colombia,X1963,4838841456
Comoros,X1963,NA
Cape Verde,X1963,NA
Costa Rica,X1963,511902136.8
Cuba,X1963,NA
Curacao,X1963,NA
Cayman Islands,X1963,NA
Cyprus,X1963,NA
